Longitude,Latitude,Pixel,Scan
21.0568001,-5.95903644,200,800
21.0207178,-5.95886657,300,800
20.9846488,-5.95870779,400,800
20.9485927,-5.95856007,500,800
20.9125492,-5.95842341,600,800
20.8765177,-5.95829779,700,800
20.8404978,-5.95818321,800,800
20.8044893,-5.95807964,900,800
20.7684915,-5.95798708,1000,800
20.7325042,-5.95790552,1100,800
20.6965269,-5.95783495,1200,800
20.6605592,-5.95777536,1300,800
20.6246006,-5.95772673,1400,800
20.5886508,-5.95768906,1500,800
20.5527094,-5.95766235,1600,800
20.5167759,-5.95764657,1700,800
20.4808499,-5.95764174,1800,800
20.4449311,-5.95764783,1900,800
20.409019,-5.95766485,2000,800
20.3731131,-5.95769278,2100,800
20.3372132,-5.95773163,2200,800
20.3013188,-5.95778138,2300,800
20.2654294,-5.95784204,2400,800
20.2295447,-5.9579136,2500,800
20.1936643,-5.95799605,2600,800
20.1577877,-5.9580894,2700,800
20.1219146,-5.95819364,2800,800
20.0860446,-5.95830877,2900,800
20.0501772,-5.95843478,3000,800
20.014312,-5.95857169,3100,800
19.9784486,-5.95871948,3200,800
19.9425867,-5.95887815,3300,800
19.9067258,-5.95904772,3400,800
19.8708654,-5.95922817,3500,800
19.8350053,-5.95941952,3600,800
19.799145,-5.95962176,3700,800
19.7632841,-5.95983489,3800,800
19.7274222,-5.96005892,3900,800
19.6919175,-5.96029145,3999,800
21.1287876,-5.94407037,0,900
21.0926775,-5.9438784,100,900
21.0565816,-5.94369754,200,900
21.0204995,-5.9435278,300,900
20.9844307,-5.94336914,400,900
20.9483748,-5.94322156,500,900
20.9123315,-5.94308504,600,900
20.8763002,-5.94295957,700,900
20.8402805,-5.94284515,800,900
20.8042722,-5.94274174,900,900
20.7682746,-5.94264935,1000,900
20.7322874,-5.94256797,1100,900
20.6963103,-5.94249758,1200,900
20.6603427,-5.94243817,1300,900
20.6243843,-5.94238974,1400,900
20.5884347,-5.94235228,1500,900
20.5524934,-5.94232577,1600,900
20.5165601,-5.94231021,1700,900
20.4806343,-5.9423056,1800,900
20.4447156,-5.94231192,1900,900
20.4088036,-5.94232917,2000,900
20.3728979,-5.94235735,2100,900
20.3369981,-5.94239644,2200,900
20.3011038,-5.94244645,2300,900
20.2652146,-5.94250737,2400,900
20.22933,-5.94257919,2500,900
20.1934497,-5.94266192,2600,900
20.1575733,-5.94275555,2700,900
20.1217003,-5.94286007,2800,900
20.0858303,-5.94297549,2900,900
20.049963,-5.94310181,3000,900
20.0140979,-5.94323902,3100,900
19.9782346,-5.94338712,3200,900
19.9423728,-5.94354612,3300,900
19.9065119,-5.94371601,3400,900
19.8706517,-5.9438968,3500,900
19.8347917,-5.94408848,3600,900
19.7989315,-5.94429106,3700,900
19.7630706,-5.94450455,3800,900
19.7272088,-5.94472894,3900,900
19.6917041,-5.94496183,3999,900
21.1285797,-5.92873387,0,1000
21.0924699,-5.92854204,100,1000
21.0563742,-5.92836134,200,1000
21.0202922,-5.92819174,300,1000
20.9842236,-5.92803325,400,1000
20.9481679,-5.92788583,500,1000
20.9121247,-5.92774949,600,1000
20.8760936,-5.9276242,700,1000
20.8400742,-5.92750996,800,1000
20.8040659,-5.92740675,900,1000
20.7680685,-5.92731456,1000,1000
20.7320816,-5.92723339,1100,1000
20.6961046,-5.92716321,1200,1000
20.6601372,-5.92710402,1300,1000
20.6241789,-5.92705582,1400,1000
20.5882294,-5.92701858,1500,1000
20.5522883,-5.92699231,1600,1000
20.5163551,-5.926977,1700,1000
20.4804294,-5.92697264,1800,1000
20.4445109,-5.92697922,1900,1000
20.408599,-5.92699674,2000,1000
20.3726934,-5.92702518,2100,1000
20.3367938,-5.92706456,2200,1000
20.3008996,-5.92711485,2300,1000
20.2650105,-5.92717606,2400,1000
20.229126,-5.92724818,2500,1000
20.1932458,-5.92733121,2600,1000
20.1573695,-5.92742515,2700,1000
20.1214966,-5.92752999,2800,1000
20.0856267,-5.92764574,2900,1000
20.0497595,-5.92777239,3000,1000
20.0138944,-5.92790993,3100,1000
