Longitude,Latitude,Pixel,Scan
20.9689845,0.0929797976,200,700
20.9344126,0.0923116808,300,700
20.8998518,0.0916540926,400,700
20.8653017,0.0910070162,500,700
20.8307621,0.0903704355,600,700
20.7962325,0.0897443345,700,700
20.7617126,0.0891286978,800,700
20.727202,0.0885235105,900,700
20.6927003,0.0879287581,1000,700
20.6582072,0.0873444265,1100,700
20.6237224,0.0867705021,1200,700
20.5892453,0.0862069718,1300,700
20.5547758,0.0856538228,1400,700
20.5203133,0.0851110428,1500,700
20.4858577,0.08457862,1600,700
20.4514084,0.084056543,1700,700
20.4169652,0.0835448007,1800,700
20.3825276,0.0830433828,1900,700
20.3480954,0.082552279,2000,700
20.3136681,0.0820714797,2100,700
20.2792454,0.0816009757,2200,700
20.2448269,0.0811407582,2300,700
20.2104123,0.0806908187,2400,700
20.1760012,0.0802511493,2500,700
20.1415933,0.0798217426,2600,700
20.1071882,0.0794025914,2700,700
20.0727856,0.0789936891,2800,700
20.038385,0.0785950294,2900,700
20.0039861,0.0782066065,3000,700
19.9695886,0.0778284151,3100,700
19.9351921,0.0774604501,3200,700
19.9007963,0.0771027071,3300,700
19.8664007,0.076755182,3400,700
19.8320051,0.076417871,3500,700
19.7976091,0.0760907709,3600,700
19.7632123,0.0757738789,3700,700
19.7288143,0.0754671925,3800,700
19.6944148,0.0751707097,3900,700
19.6603576,0.0748872414,3999,700
21.0379593,0.109822054,0,800
21.0033631,0.1091331,100,800
20.9687789,0.108454703,200,800
20.9342061,0.107786847,300,800
20.8996445,0.107129515,400,800
20.8650937,0.106482689,500,800
20.8305532,0.105846353,600,800
20.7960228,0.105220492,700,800
20.7615021,0.10460509,800,800
20.7269906,0.104000132,900,800
20.6924881,0.103405604,1000,800
20.6579942,0.102821491,1100,800
20.6235085,0.10224778,1200,800
20.5890306,0.101684459,1300,800
20.5545602,0.101131513,1400,800
20.5200969,0.100588931,1500,800
20.4856404,0.100056701,1600,800
20.4511903,0.0995348122,1700,800
20.4167462,0.0990232528,1800,800
20.3823078,0.0985220124,1900,800
20.3478747,0.0980310811,2000,800
20.3134465,0.0975504492,2100,800
20.2790229,0.0970801074,2200,800
20.2446036,0.0966200469,2300,800
20.2101881,0.0961702595,2400,800
20.1757762,0.095730737,2500,800
20.1413674,0.0953014721,2600,800
20.1069614,0.0948824577,2700,800
20.0725578,0.094473687,2800,800
20.0381563,0.0940751539,2900,800
20.0037565,0.0936868525,3000,800
19.9693581,0.0933087775,3100,800
19.9349607,0.092940924,3200,800
19.900564,0.0925832873,3300,800
19.8661675,0.0922358635,3400,800
19.831771,0.0918986487,3500,800
19.797374,0.0915716399,3600,800
19.7629763,0.091254834,3700,800
19.7285774,0.0909482288,3800,800
19.694177,0.0906518222,3900,800
19.6601188,0.0903684242,3999,800
21.0377512,0.125300013,0,900
21.0031543,0.124611293,100,900
20.9685692,0.123933126,200,900
20.9339956,0.123265494,300,900
20.8994332,0.122608381,400,900
20.8648816,0.121961769,500,900
20.8303403,0.121325642,600,900
20.7958091,0.120699984,700,900
20.7612875,0.120084781,800,900
20.7267752,0.119480016,900,900
20.6922719,0.118885675,1000,900
20.6577771,0.118301745,1100,900
20.6232905,0.117728212,1200,900
20.5888118,0.117165063,1300,900
20.5543406,0.116612284,1400,900
20.5198764,0.116069865,1500,900
20.485419,0.115537792,1600,900
20.4509681,0.115016054,1700,900
20.4165231,0.114504641,1800,900
20.3820838,0.114003543,1900,900
20.3476498,0.113512748,2000,900
20.3132208,0.113032247,2100,900
20.2787963,0.112562031,2200,900
20.2443761,0.112102092,2300,900
20.2099597,0.11165242,2400,900
20.1755469,0.111213009,2500,900
20.1411372,0.11078385,2600,900
20.1067303,0.110364936,2700,900
20.0723258,0.109956261,2800,900
20.0379234,0.109557819,2900,900
20.0035227,0.109169603,3000,900
19.9691234,0.108791608,3100,900
19.9347251,0.10842383,3200,900
19.9003274,0.108066264,3300,900
19.86593,0.107718906,3400,900
19.8315325,0.107381751,3500,900
19.7971346,0.107054798,3600,900
19.7627359,0.106738042,3700,900
19.7283361,0.106431482,3800,900
19.6939348,0.106135116,3900,900
19.6598756,0.105851753,3999,900
21.0375452,0.140776316,0,1000
21.0029475,0.140087766,100,1000
20.9683616,0.139409764,200,1000
20.9337872,0.138742292,300,1000
20.899224,0.138085333,400,1000
20.8646715,0.13743887,500,1000
20.8301294,0.136802887,600,1000
20.7955973,0.136177368,700,1000
20.7610749,0.135562297,800,1000
20.7265618,0.134957661,900,1000
20.6920576,0.134363444,1000,1000
20.657562,0.133779631,1100,1000
20.6230746,0.133206211,1200,1000
20.588595,0.132643169,1300,1000
20.5541229,0.132090493,1400,1000
20.5196579,0.131548171,1500,1000
20.4851997,0.13101619,1600,1000
20.4507478,0.13049454,1700,1000
20.416302,0.129983208,1800,1000
20.3818618,0.129482186,1900,1000
20.347427,0.128991463,2000,1000
20.3129971,0.128511029,2100,1000
20.2785717,0.128040875,2200,1000
20.2441506,0.127580992,2300,1000
20.2097334,0.127131371,2400,1000
20.1753197,0.126692006,2500,1000
20.1409091,0.126262888,2600,1000
20.1065013,0.12584401,2700,1000
20.0720959,0.125435366,2800,1000
20.0376926,0.12503695,2900,1000
20.003291,0.124648755,3000,1000
19.9688908,0.124270776,3100,1000
19.9344915,0.123903009,3200,1000
19.900093,0.123545448,3300,1000
19.8656946,0.12319809,3400,1000
19.8312962,0.122860931,3500,1000
19.7968974,0.122533968,3600,1000
19.7624978,0.122217198,3700,1000
19.728097,0.121910619,3800,1000
19.6936947,0.121614228,3900,1000
19.6596346,0.121330836,3999,1000
21.0373463,0.15625154,0,1100
21.0027478,0.155563263,100,1100
20.968161,0.154885528,200,1100
20.9335858,0.154218318,300,1100
20.8990218,0.153561616,400,1100
20.8644684,0.152915404,500,1100
20.8299255,0.152279667,600,1100
20.7953926,0.151654389,700,1100
20.7608694,0.151039555,800,1100
20.7263554,0.150435148,900,1100
20.6918504,0.149841156,1000,1100
20.6573539,0.149257565,1100,1100
20.6228657,0.148684359,1200,1100
20.5883853,0.148121527,1300,1100
20.5539123,0.147569055,1400,1100
20.5194464,0.147026932,1500,1100
20.4849873,0.146495146,1600,1100
20.4505346,0.145973685,1700,1100
20.4160879,0.145462537,1800,1100
20.3816469,0.144961694,1900,1100
20.3472111,0.144471145,2000,1100
20.3127803,0.143990879,2100,1100
20.2783541,0.143520888,2200,1100
20.2439321,0.143061164,2300,1100
20.209514,0.142611697,2400,1100
20.1750994,0.142172479,2500,1100
20.1406879,0.141743505,2600,1100
20.1062792,0.141324765,2700,1100
20.0718729,0.140916254,2800,1100
20.0374687,0.140517965,2900,1100
20.0030662,0.140129893,3000,1100
19.9686651,0.139752032,3100,1100
19.9342649,0.139384377,3200,1100
19.8998654,0.139026924,3300,1100
19.8654661,0.138679669,3400,1100
19.8310668,0.138342608,3500,1100
19.7966671,0.138015738,3600,1100
19.7622665,0.137699055,3700,1100
19.7278648,0.137392558,3800,1100
19.6934616,0.137096245,3900,1100
19.6594005,0.136812924,3999,1100
21.0371456,0.171728297,0,1200
21.0025462,0.171040285,100,1200
20.9679586,0.170362809,200,1200
20.9333826,0.169695853,300,1200
20.8988177,0.1690394,400,1200
20.8642635,0.168393432,500,1200
20.8297198,0.167757933,600,1200
20.795186,0.167132888,700,1200
20.760662,0.166518281,800,1200
20.7261472,0.165914098,900,1200
20.6916413,0.165320323,1000,1200
20.657144,0.164736943,1100,1200
20.6226549,0.164163945,1200,1200
20.5881736,0.163601315,1300,1200
20.5536998,0.16304904,1400,1200
20.519233,0.162507108,1500,1200
20.4847731,0.161975508,1600,1200
20.4503195,0.161454228,1700,1200
20.4158719,0.160943257,1800,1200
20.38143,0.160442585,1900,1200
20.3469934,0.159952201,2000,1200
20.3125617,0.159472096,2100,1200
20.2781346,0.159002261,2200,1200
20.2437117,0.158542687,2300,1200
20.2092926,0.158093365,2400,1200
20.1748771,0.157654288,2500,1200
20.1404647,0.157225449,2600,1200
20.1060551,0.156806839,2700,1200
20.0716479,0.156398453,2800,1200
20.0372428,0.156000285,2900,1200
20.0028394,0.155612328,3000,1200
19.9684373,0.155234577,3100,1200
19.9340362,0.154867027,3200,1200
19.8996358,0.154509674,3300,1200
19.8652356,0.154162513,3400,1200
19.8308354,0.153825542,3500,1200
19.7964346,0.153498756,3600,1200
19.7620331,0.153182154,3700,1200
19.7276305,0.152875731,3800,1200
19.6932263,0.152579488,3900,1200
19.6591643,0.152296231,3999,1200
21.0369385,0.187203389,0,1300
21.0023383,0.186515525,100,1300
20.96775,0.185838192,200,1300
20.9331731,0.185171373,300,1300
20.8986074,0.184515052,400,1300
20.8640524,0.183869211,500,1300
20.8295078,0.183233834,600,1300
20.7949732,0.182608905,700,1300
20.7604483,0.18199441,800,1300
20.7259327,0.181390332,900,1300
20.691426,0.180796659,1000,1300
20.6569278,0.180213375,1100,1300
20.6224378,0.179640467,1200,1300
20.5879557,0.179077922,1300,1300
20.553481,0.178525727,1400,1300
20.5190134,0.177983871,1500,1300
20.4845526,0.17745234,1600,1300
20.4500981,0.176931125,1700,1300
20.4156497,0.176420214,1800,1300
20.3812069,0.175919596,1900,1300
20.3467694,0.175429262,2000,1300
20.3123369,0.174949201,2100,1300
20.2779089,0.174479405,2200,1300
20.2434851,0.174019865,2300,1300
20.2090652,0.173570573,2400,1300
20.1746487,0.17313152,2500,1300
20.1402355,0.172702699,2600,1300
20.105825,0.172284103,2700,1300
20.0714169,0.171875726,2800,1300
20.0370108,0.171477561,2900,1300
20.0026065,0.171089602,3000,1300
19.9682035,0.170711845,3100,1300
19.9338015,0.170344284,3200,1300
19.8994002,0.169986914,3300,1300
19.8649991,0.169639732,3400,1300
19.8305979,0.169302734,3500,1300
19.7961962,0.168975916,3600,1300
19.7617938,0.168659277,3700,1300
19.7273902,0.168352812,3800,1300
19.6929851,0.168056522,3900,1300
19.6589221,0.167773214,3999,1300
21.0367313,0.202678616,0,1400
21.0021303,0.201991014,100,1400
20.9675411,0.201313938,200,1400
20.9329634,0.200647372,300,1400
20.8983969,0.199991297,400,1400
20.8638411,0.199345698,500,1400
20.8292956,0.198710557,600,1400
20.7947602,0.198085859,700,1400
20.7602345,0.19747159,800,1400
20.725718,0.196867733,900,1400
20.6912104,0.196274274,1000,1400
20.6567114,0.1956912,1100,1400
20.6222206,0.195118497,1200,1400
20.5877376,0.194556152,1300,1400
20.553262,0.194004152,1400,1400
20.5187936,0.193462485,1500,1400
20.4843319,0.192931139,1600,1400
20.4498766,0.192410103,1700,1400
20.4154272,0.191899365,1800,1400
20.3809836,0.191398916,1900,1400
20.3465452,0.190908746,2000,1400
20.3121117,0.190428844,2100,1400
20.2776829,0.189959201,2200,1400
20.2432582,0.189499809,2300,1400
20.2088374,0.18905066,2400,1400
20.17442,0.188611745,2500,1400
20.1400058,0.188183057,2600,1400
20.1055944,0.187764589,2700,1400
20.0711854,0.187356335,2800,1400
20.0367785,0.186958288,2900,1400
20.0023732,0.186570442,3000,1400
19.9679693,0.186192792,3100,1400
19.9335664,0.185825333,3200,1400
19.8991641,0.185468061,3300,1400
19.864762,0.185120971,3400,1400
19.8303599,0.184784061,3500,1400
19.7959573,0.184457326,3600,1400
19.7615539,0.184140763,3700,1400
19.7271494,0.183834372,3800,1400
19.6927433,0.183538148,3900,1400
19.6586794,0.183254902,3999,1400
21.0365253,0.218149811,0,1500
21.0019235,0.21746241,100,1500
20.9673335,0.216785529,200,1500
20.932755,0.216119152,300,1500
20.8981876,0.215463262,400,1500
20.863631,0.214817842,500,1500
20.8290847,0.214182875,600,1500
20.7945485,0.213558346,700,1500
20.7600219,0.21294424,800,1500
20.7255045,0.212340542,900,1500
20.6909961,0.211747236,1000,1500
20.6564963,0.21116431,1100,1500
20.6220046,0.21059175,1200,1500
20.5875208,0.210029542,1300,1500
20.5530444,0.209477674,1400,1500
20.5185751,0.208936134,1500,1500
20.4841125,0.20840491,1600,1500
20.4496563,0.207883991,1700,1500
20.4152061,0.207373365,1800,1500
20.3807616,0.206873022,1900,1500
20.3463223,0.206382953,2000,1500
20.311888,0.205903147,2100,1500
20.2774582,0.205433596,2200,1500
20.2430327,0.20497429,2300,1500
20.208611,0.204525221,2400,1500
20.1741927,0.204086382,2500,1500
20.1397776,0.203657765,2600,1500
20.1053653,0.203239363,2700,1500
20.0709554,0.202831169,2800,1500
20.0365476,0.202433177,2900,1500
20.0021414,0.202045381,3000,1500
19.9677366,0.201667776,3100,1500
19.9333327,0.201300357,3200,1500
19.8989295,0.20094312,3300,1500
19.8645265,0.200596061,3400,1500
19.8301235,0.200259175,3500,1500
19.79572,0.19993246,3600,1500
19.7613156,0.199615912,3700,1500
19.7269101,0.19930953,3800,1500
19.6925031,0.199013311,3900,1500
19.6584383,0.198730065,3999,1500
21.0363188,0.233622959,0,1600
21.0017162,0.232935782,100,1600
20.9671253,0.232259122,200,1600
20.932546,0.231592959,300,1600
20.8979778,0.230937278,400,1600
20.8634203,0.230292062,500,1600
20.8288732,0.229657293,600,1600
20.7943362,0.229032958,700,1600
20.7598087,0.22841904,800,1600
20.7252906,0.227815524,900,1600
20.6907813,0.227222396,1000,1600
20.6562806,0.226639643,1100,1600
20.6217881,0.22606725,1200,1600
20.5873034,0.225505204,1300,1600
20.5528261,0.224953493,1400,1600
20.5183559,0.224412105,1500,1600
20.4838925,0.223881027,1600,1600
20.4494354,0.223360249,1700,1600
20.4149844,0.222849759,1800,1600
20.3805389,0.222349548,1900,1600
20.3460988,0.221859604,2000,1600
20.3116636,0.221379919,2100,1600
20.2772329,0.220910483,2200,1600
20.2428065,0.220451288,2300,1600
20.2083839,0.220002325,2400,1600
20.1739648,0.219563586,2500,1600
20.1395488,0.219135064,2600,1600
20.1051355,0.218716752,2700,1600
20.0707247,0.218308643,2800,1600
20.0363159,0.217910731,2900,1600
20.0019088,0.21752301,3000,1600
19.9675031,0.217145475,3100,1600
19.9330983,0.216778122,3200,1600
19.8986942,0.216420944,3300,1600
19.8642903,0.216073939,3400,1600
19.8298863,0.215737103,3500,1600
19.7954818,0.215410432,3600,1600
19.7610765,0.215093924,3700,1600
19.7266701,0.214787577,3800,1600
19.6922621,0.214491387,3900,1600
19.6581963,0.214208165,3999,1600
21.0361141,0.249098656,0,1700
21.0015106,0.248411699,100,1700
20.9669189,0.247735254,200,1700
20.9323388,0.247069301,300,1700
20.8977697,0.246413825,400,1700
20.8632114,0.245768808,500,1700
20.8286635,0.245134234,600,1700
20.7941256,0.244510087,700,1700
20.7595973,0.243896353,800,1700
20.7250782,0.243293016,900,1700
20.6905681,0.242700061,1000,1700
20.6560666,0.242117476,1100,1700
20.6215732,0.241545246,1200,1700
20.5870876,0.240983358,1300,1700
20.5526095,0.2404318,1400,1700
20.5181384,0.239890559,1500,1700
20.4836741,0.239359624,1600,1700
20.4492161,0.238838983,1700,1700
20.4147642,0.238328625,1800,1700
20.3803179,0.23782854,1900,1700
20.3458769,0.237338719,2000,1700
20.3114407,0.23685915,2100,1700
20.2770092,0.236389826,2200,1700
20.2425818,0.235930737,2300,1700
20.2081583,0.235481876,2400,1700
20.1737383,0.235043233,2500,1700
20.1393214,0.234614802,2600,1700
20.1049072,0.234196576,2700,1700
20.0704955,0.233788548,2800,1700
20.0360858,0.233390712,2900,1700
20.0016778,0.233003063,3000,1700
19.9672711,0.232625594,3100,1700
19.9328654,0.2322583,3200,1700
19.8984603,0.231901179,3300,1700
19.8640554,0.231554224,3400,1700
19.8296505,0.231217434,3500,1700
19.7952451,0.230890804,3600,1700
19.7608388,0.230574331,3700,1700
19.7264314,0.230268014,3800,1700
19.6920225,0.229971851,3900,1700
